,wf,Electricity,Water
0,230.72349953764186,2667.016459758782,66.93293928326156
1,1964.9174191876368,2645.8998409950823,301.4906662026104
2,1078.1478819625686,2038.3750346650068,189.23786601326083
3,1680.4561711135989,4051.703480230215,291.08109814323865
4,501.24974588905866,3489.011098924942,281.9409099128736
5,280.5849659532616,2946.6725850794874,218.3951087185627
6,599.6545934785395,2312.5277002249913,298.01585023881074
7,765.9054643336789,3086.7815785777693,293.1741847884596
9,304.3444444551336,2151.1493183522934,298.83741356566344
10,571.344215433406,3030.5789905294077,286.73276401530137
11,290.1109693490064,2923.1028530729213,293.30084949004373
12,68.28486955372021,2773.515605068225,294.90466641912195
13,314.6312317807433,2719.0077504817473,298.0000057656989
14,5.018150772337108,3104.060868426146,286.3772925631104
15,724.3872376018338,2873.8882628932383,186.57880188540142
16,1078.483957724928,2917.7003197595927,340.43424641289096
17,725.4304150378773,2537.6253000056963,-29.155758205244894
18,371.4147862589276,3114.781347990121,289.98739412478415
19,468.3782557707952,2854.3446002403552,288.331174494441
20,51.5399119327676,2961.3492450898634,297.62117361590214
23,206.85189426095826,3184.0915503385468,323.9266043808155
26,527.9247885118501,2364.40611485233,306.01176333675295
27,11.744960281141104,3205.805130205768,294.8480669155975
28,251.74648203433617,2928.626724731333,289.9449279966923
29,739.6961653527037,2386.564024733385,302.68669936964216
30,259.02031796564324,2525.0440723022252,290.31674648004014
31,412.14641863608637,2682.9799998056224,294.62643981397326
32,465.2388851274732,2491.696236544029,370.7311895621669
33,331.3204085483636,3564.159079115475,289.3513306948488
34,206.57631744166764,3040.380175580713,298.5763058918181
35,308.9964995138191,2988.7135255125872,297.71222993814234
36,72.58926697924484,2921.7740784372904,293.35217379606536
37,191.4354151248217,2990.61875559954,326.33262598418963
38,138.08250002400177,3497.907069242196,70.07152393219357
40,960.5996298832297,2381.0998312247,292.60287306946543
41,759.8847141963478,2689.4291220255927,294.46189359663487
42,530.773213550067,2322.883331980095,186.97300619698024
43,73.86646310898078,2866.2435067719216,291.66168709407424
45,1455.5300619607065,4021.573838081323,309.0832596518153
46,141.21391435839286,3749.65367539754,309.389456694438
48,934.059366492372,3199.7077557627417,316.9924223745294
49,181.36188626699985,3242.8535162156304,311.93072407634037
50,405.95626466411767,2519.633060378213,298.4905140465036
51,427.6727162847623,3330.661945000269,283.31680852969237
52,22.4103589768042,3269.0261078071003,310.07442489157324
53,517.2169029989857,3604.6780376819397,284.9438079871112
54,90.07301044260444,3136.606428749384,297.6123423867099
55,526.2767300530941,2978.958133834907,295.07808136750566
56,354.39662230998704,3416.280121472183,297.37154175548716
57,123.46405142899641,3803.313656257059,318.59086183369635
58,467.4078445177727,2491.0330514583793,366.9019963896525
60,155.94629256654116,3300.6980166492745,317.56950951838553
61,488.60888015335223,2155.0288047668287,318.8598236170732
62,239.9556815622432,2964.395435968828,322.0492193522516
63,496.81505405983614,3244.231089756486,449.10078918067217
64,232.58760717848315,2945.0385006282927,285.5159090499997
65,182.05060621415538,2790.0820999781126,283.6662844851731
66,183.54769395618354,3104.6782520708784,295.7757498481778
67,471.5681828365236,3553.8451481839343,367.42039375089263
68,55.57531558018218,3545.8776495917186,293.1916252453164
69,436.09288533977923,2943.2955548627065,293.50236867843734
70,160.04595601571398,2966.061910137197,283.75785825662587
71,196.13251547115033,3232.412509097284,302.5661214720157
72,459.51033819438214,2277.400477018014,288.2501242602138
73,173.9033988988449,2764.688298995343,293.51924952120726
74,29.73978908578772,2833.465367806124,304.36842996972086
75,988.1864697464232,3020.464244856733,185.56532405770508
76,938.3615498050704,3267.6040084604106,173.97363191528993
77,144.81466865280512,3014.3823937114253,72.25799521731469
78,432.22166498769997,3359.387039374274,374.02055222508164
79,2037.2391182024915,3287.527293433004,296.1972553548172
80,1837.6595410875586,3095.4795667897424,188.14746614130073
81,134.14208409870116,3112.912402050652,292.2058142207224
83,222.2564982456731,2204.6899153838085,296.9583055180876
84,49.0006864912663,2544.6207864838047,287.5810059825825
86,665.0740081102437,2439.624464103429,289.81986043796013
87,586.5402124630733,3060.6006172477305,291.1544133000212
88,747.8394422705129,3151.8990069317515,298.8013362205781
89,842.7227784789874,2872.692305759785,69.26139792329704
90,195.92921497637562,3458.475218220341,285.9704043753948
91,64.55725433160792,3081.9413858832568,286.276214522444
92,561.236779857677,2550.6965872032238,68.14988359245379
93,996.2690010221563,3768.172828062752,365.81794134697
94,362.92659099292007,2513.511175384256,371.1594367017264
95,180.93147664547504,3571.32573033476,211.68617834973
96,752.9363761364209,2978.5497578025547,319.6298410156577
97,807.6573598475877,2536.7198921748927,316.58522104352494
98,171.18663249723022,2721.401873085853,214.7198685918133
101,500.49349368957905,2077.17530409965,349.73876403624934
102,1187.9656307598289,2535.6516154386977,-42.647411313090814
103,98.72077217284044,3325.6865413151427,194.51562154257527
104,94.86034474433274,3049.579020280874,292.7897608062271
105,1123.3457241189349,3557.559372818088,224.54711320518425
106,833.2982691559273,2420.6871028857768,329.2993806780903
107,156.10615373970714,3018.571447734983,317.04255918428896
