,index,w_dutyp,w_sex,w_ban,w_connectio,e_sqm,e_hhsize,e_edu,w_age,Water,Electricity,w,wf
0,0,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,149.59323391422862,hhsize_2,edu_master,age_50a54,66.93293928326156,11024.533401898296,403.4970187777844,0.0
1,1,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,150.60741038942004,hhsize_4,edu_collage,age_55a59,301.4906662026104,10937.244525954646,403.4970187777844,5780.2330113856115
2,2,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,130.09938199930636,hhsize_2,edu_master,age_40a44,189.23786601326083,8425.944869231309,403.4970187777844,0.0
3,3,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,123.65860631007419,hhsize_7,edu_primary,age_75a79,291.08109814323865,16748.355709970227,403.4970187777844,3107.8476036896027
4,4,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,121.2067183654319,hhsize_6,edu_master,age_45a49,281.9409099128736,14422.377956816523,403.4970187777844,0.0
5,5,dutyp_Apartamento,sex_Homens,ban_2,connectio_Poço,103.51625694334696,hhsize_6,edu_master,age_40a44,218.3951087185627,12180.536126726778,403.4970187777844,0.0
6,6,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,84.88240130131932,hhsize_3,edu_master,age_45a49,298.01585023881074,9559.198174671676,403.4970187777844,0.0
7,7,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,46.63242719742002,hhsize_4,edu_primary,age_45a49,293.1741847884596,12759.698761091577,403.4970187777844,635.1669893574639
8,8,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,139.7287702262691,hhsize_1,edu_master,age_35a39,318.9922187837921,7777.506752087778,403.4970187777844,0.0
9,9,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,132.85774257752078,hhsize_2,edu_master,age_35a39,298.83741356566344,8892.115167069705,403.4970187777844,0.0
10,10,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,61.327680172119024,hhsize_4,edu_master,age_45a49,286.73276401530137,12527.37649440848,403.4970187777844,0.0
11,11,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,104.05821391473252,hhsize_5,edu_primary,age_35a39,293.30084949004373,12083.10692008301,403.4970187777844,485.44306237608015
12,12,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,122.18757129796192,hhsize_5,edu_master,age_30a34,294.90466641912195,11464.76442501083,403.4970187777844,0.0
13,13,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,91.77613493220905,hhsize_3,edu_master,age_35a39,298.0000057656989,11239.447606527903,403.4970187777844,0.0
14,14,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,97.48636620179235,hhsize_4,edu_master,age_50a54,286.3772925631104,12831.125432418436,403.4970187777844,0.0
15,15,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,51.78684191270439,hhsize_5,edu_primary,age_50a54,186.57880188540142,11879.670645323115,403.4970187777844,894.4226473365509
16,16,dutyp_Apartamento,sex_Mulheres,ban_4,connectio_Outra,127.55002264006524,hhsize_4,edu_primary,age_30a34,340.43424641289096,12060.774696091772,403.4970187777844,2245.4948945857204
17,17,dutyp_Casa,sex_Mulheres,ban_no,connectio_Poço,70.02119235280597,hhsize_2,edu_master,age_45a49,-29.155758205244897,10489.674624634781,403.4970187777844,0.0
18,18,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,149.04132872911626,hhsize_4,edu_master,age_40a44,289.98739412478415,12875.440226429153,403.4970187777844,0.0
19,19,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,82.07788649110499,hhsize_4,edu_master,age_25a29,288.331174494441,11798.883831682064,403.4970187777844,0.0
20,20,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,148.11268565344568,hhsize_5,edu_master,age_70a74,297.62117361590214,12241.204416913235,403.4970187777844,0.0
21,21,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,137.74956491486176,hhsize_5,edu_master,age_50a54,293.59862294896783,12040.130995940592,403.4970187777844,0.0
22,22,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,92.14169177103331,hhsize_1,edu_primary,age_35a39,363.7250269926346,10265.886104284446,403.4970187777844,0.0
23,23,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,97.05307098790972,hhsize_5,edu_master,age_60a64,323.9266043808155,13161.944885253666,403.4970187777844,0.0
24,24,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,47.4347000659819,hhsize_1,edu_master,age_40a44,287.199483080672,8795.162037627237,403.4970187777844,0.0
25,25,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,160.05618576926452,hhsize_4,edu_master,age_55a59,205.747485971249,13668.714350321348,403.4970187777844,0.0
26,26,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,114.26293313772881,hhsize_3,edu_master,age_75a79,306.01176333675295,9773.645788147729,403.4970187777844,0.0
27,27,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,112.15854123040073,hhsize_5,edu_master,age_55a59,294.8480669155975,13251.701394121486,403.4970187777844,0.0
28,28,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,111.3889181651596,hhsize_4,edu_master,age_35a39,289.9449279966923,12105.94071527131,403.4970187777844,0.0
29,29,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,69.95539259312113,hhsize_2,edu_master,age_45a49,302.68669936964216,9865.239005244726,403.4970187777844,0.0
30,30,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,130.50879150425786,hhsize_2,edu_master,age_55a59,290.31674648004014,10437.668134556221,403.4970187777844,0.0
31,31,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,66.71067529666355,hhsize_4,edu_primary,age_35a39,294.62643981397326,11090.521213790109,403.4970187777844,697.5678973933324
32,32,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,46.74482206899985,hhsize_4,edu_primary,age_30a34,370.7311895621669,10299.819593032591,403.4970187777844,1068.5346643562505
33,33,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,139.89600574506431,hhsize_4,edu_primary,age_35a39,289.3513306948488,14733.01399157525,403.4970187777844,445.5234673852011
34,34,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,89.59378143183608,hhsize_4,edu_master,age_35a39,298.5763058918181,12567.891239482857,403.4970187777844,0.0
35,35,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,80.94345951337097,hhsize_3,edu_primary,age_60a64,297.71222993814234,12354.318988229576,403.4970187777844,260.58839026775195
36,36,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.92116207961249,hhsize_4,edu_master,age_60a64,293.35217379606536,12077.614220440866,403.4970187777844,0.0
37,37,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,89.59751227913941,hhsize_5,edu_primary,age_50a54,326.33262598418963,12362.194557446643,403.4970187777844,0.0
38,38,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,135.440540708902,hhsize_5,edu_master,age_55a59,70.07152393219357,14459.150853941323,403.4970187777844,0.0
39,39,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.52701140952318,hhsize_1,edu_master,age_25a29,292.92294248454937,10039.331266672469,403.4970187777844,0.0
40,40,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,83.88999981641864,hhsize_2,edu_master,age_20a24,292.60287306946543,9842.65189910576,403.4970187777844,1140.8162871662555
41,41,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,107.8829792036292,hhsize_3,edu_primary,age_45a49,294.46189359663487,11117.179678182722,403.4970187777844,795.309987720104
42,42,dutyp_Casa,sex_Homens,ban_1,connectio_Poço,62.465807785814036,hhsize_2,edu_master,age_45a49,186.97300619698024,9602.004812690035,403.4970187777844,0.0
43,43,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,101.53075806500144,hhsize_4,edu_master,age_60a64,291.66168709407424,11848.069839523647,403.4970187777844,0.0
44,44,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,126.69098568746892,hhsize_1,edu_master,age_45a49,283.7677088333333,10388.781872085176,403.4970187777844,0.0
