,index,w_ConstructionType,c_w_ConstructionType,w_Age,c_w_Age,w_ConstructionYear,c_w_ConstructionYear,w_HHSize,c_w_HHSize,c_w_Income,c_e_ConstructionType,e_sqm,c_e_sqm,c_e_Income,c_e_HHSize,c_e_ConstructionYear,w_Intercept,w_Income,Water,e_Intercept,e_CDD,e_HDD,Electricity,w
0,0,1,1.1619882550076641,49.449928373650685,-0.0009041743187678887,1947,0.014783160702742187,3,10.128045896768366,0.0009712739719737144,2908.702015457308,73.02917262170733,15.986286492911566,0.032514299673261374,994.1979821698759,15.710245704047814,-5.28240917773532,13563.14479525702,35.477656602569084,-29960.626895641995,833.3,3006.5,41927.40577800376,1512.1878172588833
1,1,1,0.9735775950230944,71.52504964932072,0.0012993087883413565,1952,0.0156003800362755,1,10.639235411804039,0.0009758703550016344,2833.790706736333,73.020808184246,17.41302828088404,0.031299551028831835,1031.2320971486604,16.34980419633219,-5.28240917773532,13651.074296735767,26.794690900135077,-29960.626895641995,833.3,3006.5,41318.42648967977,1512.1878172588833
2,2,1,1.3838221305083993,26.650806980789113,0.0008726120059300295,1952,0.01605549748167687,3,10.701438095953273,0.0009571624378923773,2778.7664759050954,73.29121016348374,16.309213722337876,0.0335589476239246,1016.4183798834114,10.097871099796397,-5.28240917773532,13789.696750634484,37.695896483577094,-29960.626895641995,833.3,3006.5,31036.95572388728,1512.1878172588833
3,3,0,1.0345001546683428,35.257714417665,0.0009292702990186168,1935,0.014024167593087037,6,9.956378457711146,0.0009553316422450676,2735.993750934853,73.36693647134051,16.44226212837424,0.037924902228664334,1005.2307606259143,14.321544394557328,-5.28240917773532,13721.45586096123,48.304569321208035,-29960.626895641995,833.3,3006.5,39310.07624020337,1512.1878172588833
4,5,1,1.0622431255401217,82.36070149586615,-0.0031972244531790514,1970,0.015174933366135063,1,10.890432700332253,0.0009624354357944332,2755.783579153313,72.71820942656406,17.101895726597373,0.030575948062241714,1060.6432329694708,9.471528842109727,-5.28240917773532,13649.570621887842,26.4283280842236,-29960.626895641995,833.3,3006.5,27976.106428523657,1512.1878172588833
5,6,0,1.1883320797869363,61.56773785327435,0.002313818429540059,1970,0.014734387194026113,2,10.108522630772274,0.0009597962721343608,2811.4498439278905,71.4435352637179,16.708664272410378,0.03261066667202394,1014.5948108866087,14.164080514651165,-5.28240917773532,13425.910882427284,30.075492488365704,-29960.626895641995,833.3,3006.5,35403.78218534672,1512.1878172588833
6,7,1,1.2861190021720998,46.39900776373854,-0.0019152582022102702,1910,0.015266956699376924,1,10.376567424307265,0.0009522712701487352,2711.1207292390063,73.88685970876938,16.47202086709736,0.032718437733339024,1063.3077112959634,9.938935734096102,-5.28240917773532,13747.852794188924,25.995876505642567,-29960.626895641995,833.3,3006.5,28264.469853199447,1512.1878172588833
7,8,1,1.10537019846759,77.91826888802106,-0.002557248719190054,1961,0.017474261635113942,3,10.335266376904745,0.0009649703877963199,2638.5695631357066,73.0030570076795,16.88496420991439,0.03290362451183117,1096.341896777668,11.865079616734318,-5.28240917773532,13757.763685947251,38.37401636302821,-29960.626895641995,833.3,3006.5,34720.15067711863,1512.1878172588833
8,9,1,1.0822223881766728,73.49602728420585,-0.0029837367072600572,1961,0.01586197475091938,3,10.857849697287284,0.0009606947988082812,2846.401080473334,72.52127468032336,17.027773313774073,0.033110319051923666,994.907997453329,12.815336672175913,-5.28240917773532,13751.672164099946,37.55210182826828,-29960.626895641995,833.3,3006.5,36491.998365503576,1512.1878172588833
9,10,1,1.1921235245440849,67.10957241704703,0.0017811597827751663,1961,0.01615932261401074,3,10.168330824835538,0.0009516827564686748,2853.683237954448,73.28271307233966,16.91712855088499,0.029378822620863342,1098.5784585564072,13.650221218513868,-5.28240917773532,13682.79681793708,36.95988372301815,-29960.626895641995,833.3,3006.5,38399.01996140324,1512.1878172588833
