,index,e_BuildingSqm,elec,heat,cool,w,wf
0,0,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
1,1,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
2,2,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
3,3,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
4,4,105.0,260838.09933619265,0.0,103670.18504759988,65.21,159.93471414180092
5,5,39.0,83421.88017269323,0.0,22325.681020370586,65.21,160.8891490310588
6,6,525.0,187549.5748279765,0.0,42934.00196225112,65.21,153.86103757379624
7,7,525.0,62516.524942658834,0.0,14311.333987417043,65.21,153.86103757379624
8,8,525.0,0.0,0.0,0.0,65.21,153.86103757379624
9,9,12000.0,0.0,0.0,0.0,65.21,0.0
10,10,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
11,11,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
12,12,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
13,13,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
14,14,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
15,15,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
16,16,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
17,17,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
18,18,3600.0,0.0,0.0,0.0,65.21,109.39304841519046
19,19,12000.0,0.0,55510079.03056037,3841566.954830231,65.21,0.0
20,20,12000.0,0.0,55510079.03056037,11524700.864490692,65.21,0.0
21,21,12000.0,0.0,55510079.03056037,2944045.848840077,65.21,0.0
22,22,12000.0,3990486.428305042,55510079.03056037,2944045.848840077,65.21,0.0
23,23,525.0,187549.5748279765,809521.9858623386,42934.00196225112,65.21,153.86103757379624
24,24,525.0,187549.5748279765,809521.9858623386,42934.00196225112,65.21,153.86103757379624
25,25,39.0,27807.293390897743,247883.96893683073,22325.681020370586,65.21,160.8891490310588
26,26,105.0,695568.2648965137,858059.8924736448,77281.20353205202,65.21,159.93471414180092
27,27,525.0,125033.04988531767,809521.9858623386,42934.00196225112,65.21,153.86103757379624
28,28,525.0,187549.5748279765,809521.9858623386,57594.54724866659,65.21,153.86103757379624
29,29,525.0,187549.5748279765,54555.872216939024,57594.54724866659,65.21,153.86103757379624
30,30,525.0,0.0,54555.872216939024,57594.54724866659,65.21,153.86103757379624
31,31,12000.0,0.0,3740974.0948758186,0.0,65.21,0.0
32,32,12000.0,0.0,3740974.0948758186,0.0,65.21,0.0
33,33,12000.0,0.0,7756831.949598116,0.0,65.21,0.0
34,34,12000.0,0.0,0.0,0.0,65.21,0.0
35,35,12000.0,0.0,0.0,9215127.559786657,65.21,0.0
36,36,12000.0,3990486.428305042,0.0,2632893.5885104733,65.21,0.0
37,37,12000.0,3990486.428305042,0.0,2632893.5885104733,65.21,0.0
38,38,12000.0,0.0,0.0,2632893.5885104733,65.21,0.0
39,39,12000.0,0.0,0.0,3949340.382765709,65.21,0.0
40,40,12000.0,0.0,0.0,11524700.864490692,65.21,0.0
