,Electricity,Water,e_sqm,real_index,sw,w,w_Age,w_ConstructionType,w_ConstructionYear,w_HHSize,w_Income,wf
0,1137.0788357853307,40.85844666321643,72.07292685312282,0.0,11.0,1,Age_120,ConstructionType_appt,ConstructionYear_1961,HHSize_4,13477.189686297092,1184.316812386641
1,1047.0335527275267,27.24766546669929,74.01007981054431,1.0,21.0,1,Age_24,ConstructionType_appt,ConstructionYear_1961,HHSize_1,13680.655045941234,839.3029445767277
2,1047.6370730282474,32.67448628942237,72.34339467121295,2.0,11.0,1,Age_29,ConstructionType_hous,ConstructionYear_1961,HHSize_2,13923.801658138998,1192.2863736134714
3,977.624876362289,31.13285964644545,70.97396489573266,3.0,21.0,1,Age_64,ConstructionType_appt,ConstructionYear_2011,HHSize_2,13833.186937177688,831.2925499282965
4,1112.9868258666222,31.34351768884316,71.23472021250616,4.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1961,HHSize_2,13814.492243788924,1186.2938239582868
5,1228.4163956303923,33.62186614733029,73.5853208411172,5.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_2001,HHSize_2,13836.849133979656,1154.2922993766358
6,1421.104464032043,32.098820560330424,73.99975293016163,6.0,1.0,1,Age_54,ConstructionType_hous,ConstructionYear_1981,HHSize_2,13627.169293795301,1671.3065898757773
7,1394.281129101742,24.32436196502336,72.3057870524506,7.0,1.0,1,Age_54,ConstructionType_hous,ConstructionYear_1900,HHSize_1,13643.059647721264,1680.3055074936028
8,1214.5082040238858,32.837325793228324,73.4104534530458,8.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1961,HHSize_2,13879.276595097774,1180.2894078124268
9,1190.9137606811767,32.7687631077024,72.30934228888067,9.0,1.0,1,Age_79,ConstructionType_hous,ConstructionYear_1961,HHSize_2,13563.8396304778,1692.31090670082
10,1258.7490164380313,33.47598416421086,72.32016906998484,10.0,1.0,1,Age_120,ConstructionType_hous,ConstructionYear_2020,HHSize_2,13624.150265294486,1676.3067962503092
