,index,w_ConstructionType,c_w_ConstructionType,w_Age,c_w_Age,w_ConstructionYear,c_w_ConstructionYear,w_HHSize,c_w_HHSize,c_w_Income,c_e_ConstructionType,e_sqm,c_e_sqm,c_e_Income,c_e_HHSize,c_e_ConstructionYear,w_Intercept,w_Income,Water,e_Intercept,e_CDD,e_HDD,Electricity,w
0,0,1,1.3430979323581382,59.70301844222127,0.002285375039620264,1905,0.017633965491747394,3,10.483688593152198,0.0009620799357683221,2783.1091931972264,73.25325464924386,15.912769005907506,0.03611400750028067,1033.0148667789706,10.67934377449724,-5.28240917773532,13662.392888445682,38.47681645613177,-29960.626895641995,833.3,3006.5,1077.7186109581978,1460.8710256410259
1,1,0,1.0467862009536957,26.274211181206013,0.0015198192400070068,1947,0.016138975366136746,2,10.294932037718183,0.0009465280972496074,2875.348626697957,73.45290587763043,16.038509370005833,0.03068753755774125,1037.0714367454416,10.39162152071748,-5.28240917773532,13910.887552674072,31.498816480161878,-29960.626895641995,833.3,3006.5,942.7276934026463,1460.8710256410259
2,2,1,1.1398325703323091,31.51002107341307,0.0007783839300598557,1957,0.014947825131452491,1,10.119830930155553,0.0009493788708509439,2847.7213641194203,72.52833947360624,16.066685675158734,0.03135382878651888,1011.4560770705657,14.110114049162812,-5.28240917773532,13427.635503871441,25.734883541731538,-29960.626895641995,833.3,3006.5,1253.4681462825654,1460.8710256410259
3,3,0,1.18064027915028,56.611012270945466,-0.00093027549683629,1926,0.018374837129428424,3,10.514889820543296,0.0009527343440154088,2559.275808990821,72.50416228069021,17.213358398798928,0.030028706449113013,986.8421773925979,15.588287762629,-5.28240917773532,13718.985572970683,38.61439670075315,-29960.626895641995,833.3,3006.5,1307.2978677193464,1460.8710256410259
4,4,1,0.9860328215332981,59.94787870128978,0.0005661920460262308,1933,0.015068237571810656,4,10.680575027169967,0.0009506488499496928,2527.1754925524397,73.91650723135615,16.408422967072326,0.03229700805206197,1067.3223373795875,15.395111323020554,-5.28240917773532,13454.991782359317,41.37100684223832,-29960.626895641995,833.3,3006.5,1428.2005034349252,1460.8710256410259
5,5,1,1.265881345323948,58.599679058700026,-0.0010204022483027448,1948,0.014661580608645256,4,10.020204908854627,0.0009736735815502193,2899.335984211128,74.2026019554582,16.826249656102295,0.03491402838208253,1048.4682644202412,9.810481248020643,-5.28240917773532,13636.15023641233,40.14652831128127,-29960.626895641995,833.3,3006.5,1079.189579162421,1460.8710256410259
6,6,1,1.1116699734922906,56.11110577313465,-0.0010503098097672146,1948,0.01684633931396453,2,10.575993957826622,0.0009491156443569744,2834.1130801247523,72.27172706232244,16.915117690836357,0.033613343535672024,1049.3300310629077,10.837047480179,-5.28240917773532,13406.155232979172,32.71876998320511,-29960.626895641995,833.3,3006.5,1071.980407121286,1460.8710256410259
7,7,1,1.1924505847166391,63.15023976451147,0.0013285778598691345,1938,0.01638344460137644,2,10.310035896905577,0.0009507910057037076,2876.0638838312293,72.08557594420195,16.433154241061814,0.03399603921816187,1025.2272224364688,10.656382928703096,-5.28240917773532,13480.618043870678,32.10028462394492,-29960.626895641995,833.3,3006.5,1055.1656186377695,1460.8710256410259
8,8,1,1.113343432461185,56.12400576317583,-0.0024068333686897113,1926,0.01490453293345561,2,10.032291732205676,0.0009545541013821994,2890.9750015047034,73.46882379214955,16.648398978897067,0.034420076131627106,1016.4637337105884,15.062363997601366,-5.28240917773532,13641.498319474058,30.31607782484407,-29960.626895641995,833.3,3006.5,1340.6950066486274,1460.8710256410259
9,9,1,1.1079533221816007,52.971744865960254,-0.00017717354389782292,1914,0.014817679294108196,1,10.034697232565641,0.0009624779534760804,2864.6933599168487,72.56968112227649,16.692875394157394,0.03169751076312485,1048.261243669635,12.3215642631378,-5.28240917773532,13415.651777750349,25.31063344601573,-29960.626895641995,833.3,3006.5,1120.1035015627626,1460.8710256410259
10,10,1,1.1414781274220929,43.0506527802917,0.0024648933032524983,1914,0.0158350314437544,3,10.721643632724149,0.0009516445871350901,2601.2615492567656,73.07377200962122,16.639865409799278,0.032299201855200146,1014.6375055351346,12.427881254970508,-5.28240917773532,13884.324262238744,37.15642907952454,-29960.626895641995,833.3,3006.5,1186.8031786675042,1460.8710256410259
11,11,1,1.0033872963964965,53.06594911424502,0.0018788096817126765,1993,0.017055702156275467,1,10.573237006607547,0.0009558398078561963,2860.4340717169866,74.2210865614195,17.35614926614912,0.033151615114615424,1075.5201478423562,12.651421360505285,-5.28240917773532,13809.219975577123,28.431163454139675,-29960.626895641995,833.3,3006.5,1179.9988303515754,1460.8710256410259
12,12,1,1.2816020030618709,73.14607990904123,0.0024108185863625656,1977,0.013706547713562608,3,10.242267060386038,0.0009449026996425033,2664.088553072049,73.0236636958778,17.100937629991247,0.03377085881082305,1031.6074395346566,13.021037703085131,-5.28240917773532,13696.525088053142,34.882021152387786,-29960.626895641995,833.3,3006.5,1258.6945182732168,1460.8710256410259
13,13,0,0.950766749350888,40.57625276601704,0.00022692126384131245,1924,0.01593804331056934,2,10.487995368449614,0.0009484524703315812,2884.8746219037953,73.68179880003746,16.793690984735154,0.02914618134969485,1011.6760409949884,15.611335458547678,-5.28240917773532,13761.95109729582,31.24918211201692,-29960.626895641995,833.3,3006.5,1275.1783526465815,1460.8710256410259
14,14,1,1.0060488121008646,52.138406460231955,0.0007487890805694447,1896,0.017371178688084375,2,10.508435445505524,0.000968267569146118,2815.827756538332,73.1049549131109,15.844393012074688,0.037022985024591885,1037.3079971049183,14.003691810754587,-5.28240917773532,13458.31728363676,32.85573107141622,-29960.626895641995,833.3,3006.5,1254.7945462433377,1460.8710256410259
