,cool,e_BuildingSqm,elec,heat,real_index,sw,w,wf
0.0,0.0,3600.0,0.0,0.0,0.0,11.0,1.0,6.737983893527707
1.0,0.0,525.0,66742.06835423224,94458.85206448693,1.0,1.0,1.0,12.872192564995364
2.0,140893.97937187686,525.0,66742.06835423224,31486.28402149564,2.0,1.0,1.0,13.872192564995364
3.0,65124.32824300085,39.0,0.0,117168.86293266574,3.0,1.0,1.0,14.525599203802939
4.0,46964.659790625614,525.0,0.0,15185.242330075269,4.0,1.0,1.0,13.872192564995364
8.0,0.0,3600.0,0.0,0.0,8.0,11.0,1.0,6.737983893527707
9.0,0.0,3600.0,0.0,0.0,9.0,11.0,1.0,5.737983893527707
10.0,0.0,3600.0,0.0,0.0,10.0,11.0,1.0,8.737983893527707
11.0,21000.513918292363,525.0,0.0,0.0,11.0,1.0,1.0,12.872192564995364
12.0,21000.513918292363,525.0,0.0,0.0,12.0,1.0,1.0,13.872192564995364
13.0,21000.513918292363,525.0,0.0,0.0,13.0,1.0,1.0,13.872192564995364
19.0,0.0,3600.0,0.0,0.0,19.0,11.0,1.0,7.737983893527707
20.0,0.0,525.0,400452.4101253936,94458.85206448693,20.0,1.0,1.0,12.872192564995364
26.0,0.0,3600.0,0.0,0.0,26.0,11.0,1.0,8.737983893527707
27.0,0.0,3600.0,0.0,0.0,27.0,11.0,1.0,8.737983893527707
28.0,0.0,3600.0,0.0,0.0,28.0,11.0,1.0,7.737983893527707
29.0,0.0,3600.0,0.0,0.0,29.0,11.0,1.0,7.737983893527707
30.0,0.0,3600.0,0.0,0.0,30.0,11.0,1.0,5.737983893527707
31.0,0.0,3600.0,0.0,0.0,31.0,11.0,1.0,7.737983893527707
32.0,0.0,3600.0,0.0,0.0,32.0,11.0,1.0,8.737983893527707
33.0,0.0,3600.0,0.0,0.0,33.0,11.0,1.0,8.737983893527707
39.0,0.0,3600.0,0.0,0.0,39.0,11.0,1.0,6.737983893527707
43.0,0.0,3600.0,0.0,0.0,43.0,11.0,1.0,6.737983893527707
44.0,0.0,3600.0,0.0,0.0,44.0,11.0,1.0,7.737983893527707
51.0,0.0,3600.0,0.0,0.0,51.0,11.0,1.0,8.737983893527707
52.0,0.0,3600.0,0.0,0.0,52.0,11.0,1.0,7.737983893527707
53.0,0.0,3600.0,0.0,0.0,53.0,11.0,1.0,7.737983893527707
54.0,0.0,3600.0,0.0,0.0,54.0,11.0,1.0,7.737983893527707
55.0,0.0,3600.0,0.0,0.0,55.0,11.0,1.0,8.737983893527707
56.0,0.0,3600.0,0.0,0.0,56.0,11.0,1.0,7.737983893527707
57.0,0.0,3600.0,0.0,0.0,57.0,11.0,1.0,8.737983893527707
58.0,0.0,3600.0,0.0,0.0,58.0,11.0,1.0,8.737983893527707
59.0,0.0,3600.0,0.0,0.0,59.0,11.0,1.0,6.737983893527707
63.0,75143.45566500098,105.0,185129.01332144573,50378.054434393016,63.0,1.0,1.0,14.436864968903143
64.0,35424.77195635761,36.0,122937.34147707654,23749.654233356712,64.0,1.0,1.0,13.529632578116566
65.0,46964.659790625614,525.0,200226.2050626968,94458.85206448693,65.0,1.0,1.0,12.872192564995364
66.0,15654.886596875205,525.0,0.0,94458.85206448693,66.0,1.0,1.0,12.872192564995364
75.0,0.0,3600.0,0.0,0.0,75.0,11.0,1.0,7.737983893527707
76.0,0.0,3600.0,0.0,0.0,76.0,11.0,1.0,4.737983893527707
77.0,0.0,525.0,200226.2050626968,0.0,77.0,1.0,1.0,13.872192564995364
78.0,0.0,525.0,200226.2050626968,45555.72699022581,78.0,1.0,1.0,12.872192564995364
79.0,0.0,525.0,200226.2050626968,0.0,79.0,1.0,1.0,13.872192564995364
80.0,0.0,3600.0,0.0,0.0,80.0,11.0,1.0,8.737983893527707
81.0,0.0,3600.0,0.0,0.0,81.0,11.0,1.0,5.737983893527707
82.0,0.0,39.0,89060.43376261383,23688.978034917418,82.0,1.0,1.0,13.525599203802939
83.0,32760.80171253608,39.0,267181.30128784146,49118.6030735332,83.0,1.0,1.0,13.525599203802939
87.0,63001.54175487709,525.0,0.0,0.0,87.0,1.0,1.0,13.872192564995364
88.0,63001.54175487709,525.0,0.0,0.0,88.0,1.0,1.0,13.872192564995364
89.0,63001.54175487709,525.0,0.0,0.0,89.0,1.0,1.0,13.872192564995364
107.0,0.0,3600.0,0.0,0.0,107.0,11.0,1.0,6.737983893527707
114.0,0.0,3600.0,0.0,0.0,114.0,11.0,1.0,5.737983893527707
120.0,0.0,3600.0,0.0,0.0,120.0,11.0,1.0,6.737983893527707
121.0,0.0,3600.0,0.0,0.0,121.0,11.0,1.0,7.737983893527707
126.0,0.0,525.0,0.0,225324.73640897265,126.0,1.0,1.0,13.872192564995364
127.0,0.0,525.0,0.0,15185.242330075269,127.0,1.0,1.0,12.872192564995364
128.0,0.0,525.0,467194.4784796257,31486.28402149564,128.0,1.0,1.0,12.872192564995364
129.0,0.0,525.0,467194.4784796257,225324.73640897265,129.0,1.0,1.0,12.872192564995364
130.0,15654.886596875205,525.0,0.0,225324.73640897265,130.0,1.0,1.0,13.872192564995364
131.0,15654.886596875205,525.0,0.0,225324.73640897265,131.0,1.0,1.0,13.872192564995364
132.0,15654.886596875205,525.0,0.0,27765.874332035743,132.0,1.0,1.0,12.872192564995364
133.0,0.0,525.0,200226.2050626968,0.0,133.0,1.0,1.0,13.872192564995364
134.0,0.0,525.0,200226.2050626968,15185.242330075269,134.0,1.0,1.0,13.872192564995364
135.0,0.0,525.0,66742.06835423224,15185.242330075269,135.0,1.0,1.0,12.872192564995364
136.0,0.0,525.0,66742.06835423224,15185.242330075269,136.0,1.0,1.0,13.872192564995364
142.0,0.0,3600.0,0.0,0.0,142.0,11.0,1.0,6.737983893527707
143.0,0.0,3600.0,0.0,0.0,143.0,11.0,1.0,6.737983893527707
144.0,0.0,525.0,0.0,0.0,144.0,1.0,1.0,13.872192564995364
147.0,0.0,3600.0,0.0,0.0,147.0,11.0,1.0,6.737983893527707
148.0,0.0,3600.0,0.0,0.0,148.0,11.0,1.0,8.737983893527707
149.0,0.0,3600.0,0.0,0.0,149.0,11.0,1.0,6.737983893527707
150.0,0.0,3600.0,0.0,0.0,150.0,11.0,1.0,8.737983893527707
152.0,0.0,3600.0,0.0,0.0,152.0,11.0,1.0,7.737983893527707
153.0,0.0,3600.0,0.0,0.0,153.0,11.0,1.0,7.737983893527707
154.0,0.0,3600.0,0.0,0.0,154.0,11.0,1.0,8.737983893527707
155.0,0.0,3600.0,0.0,0.0,155.0,11.0,1.0,7.737983893527707
156.0,0.0,3600.0,0.0,0.0,156.0,11.0,1.0,6.737983893527707
157.0,0.0,3600.0,0.0,0.0,157.0,11.0,1.0,8.737983893527707
158.0,0.0,3600.0,0.0,0.0,158.0,11.0,1.0,6.737983893527707
159.0,0.0,3600.0,0.0,0.0,159.0,11.0,1.0,7.737983893527707
161.0,0.0,3600.0,0.0,0.0,161.0,11.0,1.0,7.737983893527707
162.0,0.0,3600.0,0.0,0.0,162.0,11.0,1.0,8.737983893527707
163.0,0.0,3600.0,0.0,0.0,163.0,11.0,1.0,5.737983893527707
164.0,0.0,3600.0,0.0,0.0,164.0,11.0,1.0,7.737983893527707
168.0,0.0,3600.0,0.0,0.0,168.0,11.0,1.0,8.737983893527707
169.0,0.0,3600.0,0.0,0.0,169.0,11.0,1.0,7.737983893527707
170.0,15654.886596875205,525.0,200226.2050626968,0.0,170.0,1.0,1.0,13.872192564995364
171.0,15654.886596875205,525.0,200226.2050626968,0.0,171.0,1.0,1.0,13.872192564995364
185.0,0.0,3600.0,0.0,0.0,185.0,11.0,1.0,6.737983893527707
186.0,0.0,3600.0,0.0,0.0,186.0,11.0,1.0,7.737983893527707
188.0,0.0,3600.0,0.0,0.0,188.0,11.0,1.0,7.737983893527707
189.0,0.0,3600.0,0.0,0.0,189.0,11.0,1.0,6.737983893527707
190.0,0.0,3600.0,0.0,0.0,190.0,11.0,1.0,7.737983893527707
195.0,0.0,3600.0,0.0,0.0,195.0,11.0,1.0,7.737983893527707
196.0,0.0,3600.0,0.0,0.0,196.0,11.0,1.0,8.737983893527707
197.0,0.0,3600.0,0.0,0.0,197.0,11.0,1.0,6.737983893527707
208.0,0.0,3600.0,0.0,0.0,208.0,11.0,1.0,9.737983893527707
209.0,0.0,3600.0,0.0,0.0,209.0,11.0,1.0,5.737983893527707
210.0,0.0,3600.0,0.0,0.0,210.0,11.0,1.0,5.737983893527707
211.0,0.0,3600.0,0.0,0.0,211.0,11.0,1.0,8.737983893527707
212.0,0.0,3600.0,0.0,0.0,212.0,11.0,1.0,7.737983893527707
213.0,0.0,3600.0,0.0,0.0,213.0,11.0,1.0,8.737983893527707
214.0,0.0,3600.0,0.0,0.0,214.0,11.0,1.0,6.737983893527707
216.0,0.0,3600.0,0.0,0.0,216.0,11.0,1.0,6.737983893527707
217.0,0.0,3600.0,0.0,0.0,217.0,11.0,1.0,6.737983893527707
218.0,0.0,3600.0,0.0,0.0,218.0,11.0,1.0,9.737983893527707
220.0,0.0,3600.0,0.0,0.0,220.0,11.0,1.0,6.737983893527707
221.0,0.0,3600.0,0.0,0.0,221.0,11.0,1.0,8.737983893527707
222.0,0.0,3600.0,0.0,0.0,222.0,11.0,1.0,5.737983893527707
223.0,0.0,3600.0,0.0,0.0,223.0,11.0,1.0,8.737983893527707
224.0,0.0,3600.0,0.0,0.0,224.0,11.0,1.0,7.737983893527707
225.0,0.0,3600.0,0.0,0.0,225.0,11.0,1.0,6.737983893527707
226.0,0.0,3600.0,0.0,0.0,226.0,11.0,1.0,6.737983893527707
227.0,0.0,3600.0,0.0,0.0,227.0,11.0,1.0,7.737983893527707
230.0,0.0,525.0,0.0,62972.56804299128,230.0,1.0,1.0,12.872192564995364
231.0,84002.05567316945,525.0,0.0,0.0,231.0,1.0,1.0,13.872192564995364
232.0,0.0,525.0,0.0,0.0,232.0,1.0,1.0,13.872192564995364
233.0,0.0,525.0,0.0,675974.2092269178,233.0,1.0,1.0,13.872192564995364
234.0,0.0,3600.0,0.0,0.0,234.0,11.0,1.0,5.737983893527707
235.0,0.0,3600.0,0.0,0.0,235.0,11.0,1.0,8.737983893527707
236.0,0.0,3600.0,0.0,0.0,236.0,11.0,1.0,6.737983893527707
237.0,0.0,3600.0,0.0,0.0,237.0,11.0,1.0,7.737983893527707
245.0,0.0,3600.0,0.0,0.0,245.0,11.0,1.0,5.737983893527707
246.0,0.0,39.0,89060.43376261383,0.0,246.0,1.0,1.0,14.525599203802939
247.0,0.0,525.0,200226.2050626968,0.0,247.0,1.0,1.0,13.872192564995364
248.0,15654.886596875205,525.0,200226.2050626968,0.0,248.0,1.0,1.0,13.872192564995364
249.0,46964.659790625614,525.0,200226.2050626968,0.0,249.0,1.0,1.0,12.872192564995364
257.0,0.0,3600.0,0.0,0.0,257.0,11.0,1.0,6.737983893527707
258.0,0.0,3600.0,0.0,0.0,258.0,11.0,1.0,7.737983893527707
259.0,0.0,3600.0,0.0,0.0,259.0,11.0,1.0,8.737983893527707
260.0,0.0,3600.0,0.0,0.0,260.0,11.0,1.0,6.737983893527707
261.0,0.0,3600.0,0.0,0.0,261.0,11.0,1.0,8.737983893527707
262.0,0.0,3600.0,0.0,0.0,262.0,11.0,1.0,7.737983893527707
266.0,0.0,3600.0,0.0,0.0,266.0,11.0,1.0,8.737983893527707
267.0,0.0,3600.0,0.0,0.0,267.0,11.0,1.0,8.737983893527707
268.0,0.0,3600.0,0.0,0.0,268.0,11.0,1.0,7.737983893527707
269.0,0.0,3600.0,0.0,0.0,269.0,11.0,1.0,8.737983893527707
270.0,0.0,3600.0,0.0,0.0,270.0,11.0,1.0,7.737983893527707
271.0,0.0,3600.0,0.0,0.0,271.0,11.0,1.0,8.737983893527707
272.0,0.0,3600.0,0.0,0.0,272.0,11.0,1.0,8.737983893527707
274.0,0.0,3600.0,0.0,0.0,274.0,11.0,1.0,5.737983893527707
279.0,15654.886596875205,525.0,0.0,45555.72699022581,279.0,1.0,1.0,13.872192564995364
