,index,w_ConstructionType,w_Age,w_ConstructionYear,w_HHSize,e_sqm,w_Income,Water,Electricity,w,wf
0,0,ConstructionType_hous,Age_79,ConstructionYear_1900,HHSize_4,73.6229844388,13866.9792756,42.2613833338,1197.9101957999999,1493.2380952380952,1493.2350884923128
1,1,ConstructionType_hous,Age_79,ConstructionYear_1918,HHSize_5,72.86992771119999,13446.097786100001,42.322445,1368.78471099,1493.2380952380952,1493.2409253860408
2,2,ConstructionType_appt,Age_120,ConstructionYear_1945,HHSize_5,73.9774527975,13724.728049599998,44.979569120600004,1364.20539542,1493.2380952380952,1493.2370612249904
3,3,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_4,72.0827174623,13599.142254299999,41.4602362405,1254.19170343,1493.2380952380952,1493.23880300403
4,4,ConstructionType_appt,Age_79,ConstructionYear_1945,HHSize_2,73.4378351912,13605.608534600002,31.4576110095,1271.3348524,1493.2380952380952,1493.2387132292565
5,5,ConstructionType_hous,Age_64,ConstructionYear_1900,HHSize_1,72.6712703718,13353.8802422,24.343727348,1278.82417857,1493.2380952380952,1493.2422042856822
6,6,ConstructionType_hous,Age_54,ConstructionYear_1900,HHSize_5,72.0540522119,13428.1986051,44.115622916199996,1225.69614168,1493.2380952380952,1493.2411736746794
7,7,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_1,72.6088396241,13767.976773299997,23.9204186506,1253.53080449,1493.2380952380952,1493.2364615466602
8,8,ConstructionType_hous,Age_64,ConstructionYear_1945,HHSize_1,72.8756450344,13881.6204581,26.0914175817,1012.44043752,1493.2380952380952,1493.2348855019063
9,9,ConstructionType_hous,Age_24,ConstructionYear_1945,HHSize_5,72.6257133656,13571.354539599999,42.96530152770001,1515.92072718,1493.2380952380952,1493.2391883276475
10,10,ConstructionType_hous,Age_79,ConstructionYear_1900,HHSize_3,71.8361222958,13453.8722274,34.3289149623,1142.11974344,1493.2380952380952,1493.240817645775
11,11,ConstructionType_hous,Age_79,ConstructionYear_1900,HHSize_3,71.7964220853,13455.1817211,33.7861991686,1112.47825389,1493.2380952380952,1493.2407994884923
12,12,ConstructionType_hous,Age_79,ConstructionYear_1945,HHSize_3,72.2229036733,13233.5748866,34.6977898847,1242.47328965,1493.2380952380952,1493.243872728386
13,13,ConstructionType_hous,Age_120,ConstructionYear_1961,HHSize_4,72.3890591741,13676.8818968,40.506185807399994,1065.81629881,1493.2380952380952,1493.2377248784658
14,14,ConstructionType_hous,Age_79,ConstructionYear_1961,HHSize_4,72.4908823563,13939.094355000001,40.847732384000004,1666.25953212,1493.2380952380952,1493.23408847497
15,15,ConstructionType_hous,Age_39,ConstructionYear_1981,HHSize_6,73.88626391689999,13635.781286399999,48.6793383263,1370.25265335,1493.2380952380952,1493.2382947560563
16,16,ConstructionType_hous,Age_79,ConstructionYear_1981,HHSize_6,74.4240285627,13372.4773217,50.3521837415,1460.19946809,1493.2380952380952,1493.241946248913
17,17,ConstructionType_appt,Age_54,ConstructionYear_1945,HHSize_6,74.1242577132,13608.094056999998,50.180183614099995,1237.69012076,1493.2380952380952,1493.2386787089315
18,18,ConstructionType_hous,Age_29,ConstructionYear_1945,HHSize_2,74.0830947562,13557.058399399999,30.9679794785,1253.57821403,1493.2380952380952,1493.2393864802568
19,19,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_2,72.2697545315,13779.315561700001,30.3117988304,1334.45205089,1493.2380952380952,1493.2363043238279
20,20,ConstructionType_hous,Age_54,ConstructionYear_1970,HHSize_6,73.0799475968,13702.0145826,48.529453742,1324.74520022,1493.2380952380952,1493.2373762838713
21,21,ConstructionType_hous,Age_54,ConstructionYear_1918,HHSize_5,72.3414606881,13703.084878,43.3633085961,1130.94704269,1493.2380952380952,1493.2373614955147
22,22,ConstructionType_hous,Age_79,ConstructionYear_1945,HHSize_5,73.0205305705,13533.7419424,47.5496743997,1348.64765558,1493.2380952380952,1493.2397099144334
