,Electricity,Water,e_sqm,real_index,sw,w,w_Age,w_ConstructionType,w_ConstructionYear,w_HHSize,w_Income,wf
0,1162.2883474867767,38.989495237780325,72.6831497523997,0.0,11.0,1,Age_79,ConstructionType_hous,ConstructionYear_2030,HHSize_3,13719.218086701609,1151.4772580786735
1,1002.8251763010317,28.28672858417622,73.0737805024402,1.0,11.0,1,Age_64,ConstructionType_hous,ConstructionYear_1970,HHSize_1,13792.313688522749,1168.4774294215656
2,1204.9680230869199,36.52063158739597,72.84411910433035,2.0,1.0,1,Age_54,ConstructionType_hous,ConstructionYear_1945,HHSize_3,13572.38542089376,1612.4769139010255
3,1237.1837439853211,36.518271248869375,72.8130002741885,3.0,21.0,1,Age_64,ConstructionType_appt,ConstructionYear_2011,HHSize_3,13685.937554539794,807.477180069696
4,1424.8913119821093,35.57316415484994,72.05789371141721,4.0,11.0,1,Age_29,ConstructionType_hous,ConstructionYear_1970,HHSize_3,13688.954993750127,1139.4771871333014
5,1383.6619991190082,34.66468085512987,73.32850746740627,5.0,1.0,1,Age_54,ConstructionType_hous,ConstructionYear_1970,HHSize_2,13611.314348478369,1610.477005157527
6,1343.2903254711675,39.610872745107415,73.51000597275082,6.0,11.0,1,Age_64,ConstructionType_appt,ConstructionYear_2030,HHSize_4,13545.563518244124,1166.4768510379336
7,1239.148282404886,43.244144732460384,72.46058344515271,7.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1961,HHSize_4,13771.710620174525,1159.4773811197783
8,1219.6350483651456,31.10355309398839,73.70150064470369,8.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_2011,HHSize_2,13723.032556734232,1171.477267032661
9,1425.5239668722115,37.94766735087553,71.99279613418395,9.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1918,HHSize_3,13762.271636005698,1184.4773589886854
10,1198.5952786206535,35.37042709754826,74.20714293298198,10.0,1.0,1,Age_79,ConstructionType_hous,ConstructionYear_1918,HHSize_3,13608.790983995515,1614.4769992537094
11,1236.1267567488494,32.34272698939878,72.07668174122287,11.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1918,HHSize_2,13686.13011330722,1166.4771805119733
12,983.2364417321304,36.80734214460278,71.79050833429125,12.0,21.0,1,Age_64,ConstructionType_appt,ConstructionYear_1918,HHSize_3,13799.397192215178,839.4774460092904
13,1250.96699432871,37.12674780752293,72.80882543908311,13.0,11.0,1,Age_29,ConstructionType_hous,ConstructionYear_1918,HHSize_3,13658.857193696726,1141.4771165926682
14,1267.4553652610184,36.346553917627396,72.68267995438741,14.0,1.0,1,Age_64,ConstructionType_hous,ConstructionYear_1961,HHSize_3,13613.659993468671,1611.4770106476858
15,1120.8502350904998,32.19400438478334,73.19902713341604,15.0,1.0,1,Age_39,ConstructionType_hous,ConstructionYear_1918,HHSize_2,13555.26534228074,1610.4768737755096
16,1364.073648247107,27.40127638599452,73.25853699198981,16.0,1.0,1,Age_29,ConstructionType_hous,ConstructionYear_1918,HHSize_1,13637.842630416917,1608.477067339567
17,1274.3471390404754,24.21675075308887,73.08583699376804,17.0,1.0,1,Age_39,ConstructionType_hous,ConstructionYear_1900,HHSize_1,13459.42066540471,1605.4766491115595
18,1324.7900081321684,43.82416712041388,74.25765834096325,18.0,21.0,1,Age_39,ConstructionType_appt,ConstructionYear_1970,HHSize_4,13938.851381336694,861.4777729245413
19,1352.4386636461245,41.03296552041526,72.1799777572433,19.0,1.0,1,Age_79,ConstructionType_hous,ConstructionYear_1991,HHSize_4,13595.338178429252,1606.4769676945361
20,1181.0713362870542,46.27719935061875,73.78049204238015,20.0,11.0,1,Age_120,ConstructionType_hous,ConstructionYear_2001,HHSize_5,13723.617292548037,1161.4772684042275
21,1368.2937441183126,41.45910551364034,71.72233094631513,21.0,1.0,1,Age_39,ConstructionType_hous,ConstructionYear_2001,HHSize_4,13559.058306615556,1620.476882647796
22,1151.9356348363115,44.11837625846861,72.98418471440648,22.0,1.0,1,Age_29,ConstructionType_hous,ConstructionYear_1961,HHSize_4,13589.621328516223,1607.4769543041486
23,1189.1410795180113,28.12697168002744,74.60628276224881,23.0,1.0,1,Age_39,ConstructionType_hous,ConstructionYear_1991,HHSize_1,13642.304923740105,1600.4770778162156
24,1296.6059139472866,38.9866684144187,72.34911043527367,24.0,11.0,1,Age_64,ConstructionType_hous,ConstructionYear_1918,HHSize_3,13710.214748667187,1183.4772369704126
25,1044.44145267023,35.0692125104747,74.10999286984263,25.0,21.0,1,Age_39,ConstructionType_appt,ConstructionYear_1900,HHSize_3,13801.83576766785,838.4774517544354
26,1321.4010675999762,35.85050936019504,73.9327709641796,26.0,1.0,1,Age_54,ConstructionType_hous,ConstructionYear_1945,HHSize_3,13624.336227755539,1601.4770356887545
27,1014.6691175616484,30.53074087415927,73.20293676830565,27.0,21.0,1,Age_64,ConstructionType_appt,ConstructionYear_1981,HHSize_2,13761.784696380177,895.477357862309
28,1285.4903533734478,32.62568308327413,71.99835993206057,28.0,11.0,1,Age_120,ConstructionType_hous,ConstructionYear_1981,HHSize_2,13862.991766085152,1146.4775950793821
29,1200.1792399486494,35.767450216503725,74.04680212330611,29.0,1.0,1,Age_39,ConstructionType_hous,ConstructionYear_1945,HHSize_3,13440.124676333797,1616.4766038933706
30,1150.313962040418,55.42566818490766,71.92650341565333,30.0,11.0,1,Age_120,ConstructionType_hous,ConstructionYear_2016,HHSize_6,13854.223417956002,1191.4775745251968
31,1140.6307015363768,52.898686787586136,71.89402622261547,31.0,1.0,1,Age_120,ConstructionType_hous,ConstructionYear_2030,HHSize_6,13333.155626415792,1599.4763531279925
32,1468.8148715564594,37.92800107418793,73.46586988337435,32.0,11.0,1,Age_24,ConstructionType_hous,ConstructionYear_2035,HHSize_3,13874.428009325522,1191.4776219046366
33,1003.3836796482403,26.3503566704159,71.87509364831324,33.0,11.0,1,Age_64,ConstructionType_hous,ConstructionYear_2030,HHSize_1,13737.111423944607,1149.47730001095
34,1466.0076432138833,41.50311422987411,72.57311044729288,34.0,1.0,1,Age_64,ConstructionType_hous,ConstructionYear_1981,HHSize_4,13506.652489219914,1591.476759817844
35,1086.2072853107372,41.90524537354139,72.88542117797638,35.0,1.0,1,Age_79,ConstructionType_hous,ConstructionYear_1918,HHSize_4,13603.83772245343,1602.476987626542
36,1313.1871969540343,41.252874999104044,74.07859735643711,36.0,1.0,1,Age_64,ConstructionType_hous,ConstructionYear_1961,HHSize_4,13615.22043056415,1609.4770143228811
37,1186.8949190432436,40.960695151627824,73.50489140598567,37.0,11.0,1,Age_54,ConstructionType_appt,ConstructionYear_1961,HHSize_4,13642.373613821426,1133.4770779633368
38,1322.0939224557012,31.72619651450605,72.83512287034152,38.0,11.0,1,Age_64,ConstructionType_hous,ConstructionYear_2011,HHSize_2,13739.958325890451,1141.4773066962427
39,1277.1497521968295,32.738142201706765,73.24778150498696,39.0,1.0,1,Age_79,ConstructionType_hous,ConstructionYear_2001,HHSize_2,13582.325636272795,1603.4769372062005
40,1107.5371331026981,32.337007910292,73.40413863308859,40.0,11.0,1,Age_79,ConstructionType_appt,ConstructionYear_1970,HHSize_2,13573.52507956584,1160.476916579275
41,1071.5402101888944,33.094878545679286,73.07467176064421,41.0,11.0,1,Age_79,ConstructionType_hous,ConstructionYear_1945,HHSize_2,13856.31235357201,1175.4775794362165
42,1479.2463472372433,47.179506450131775,73.93129396219183,42.0,11.0,1,Age_54,ConstructionType_appt,ConstructionYear_1961,HHSize_5,13626.579096536767,1176.477040945906
43,1533.9014642165769,51.65466945106611,73.79761822967666,43.0,11.0,1,Age_79,ConstructionType_appt,ConstructionYear_1961,HHSize_6,13621.507622613779,1162.4770290565466
44,1191.5931913582294,41.71340060134922,71.40849382885635,44.0,11.0,1,Age_39,ConstructionType_appt,ConstructionYear_1945,HHSize_4,13633.250713840343,1207.4770565527106
45,1152.0015609089692,42.758876924858725,72.76933332409185,45.0,1.0,1,Age_54,ConstructionType_hous,ConstructionYear_1945,HHSize_4,13403.824663004463,1603.4765187891596
46,1120.2254278424887,41.77073649181961,73.13883073911524,46.0,11.0,1,Age_24,ConstructionType_hous,ConstructionYear_1945,HHSize_4,13754.720301264795,1156.4773413024868
