,index,w_ConstructionType,c_w_ConstructionType,w_Age,c_w_Age,w_ConstructionYear,c_w_ConstructionYear,w_HHSize,c_w_HHSize,c_w_Income,c_e_ConstructionType,e_sqm,c_e_sqm,c_e_Income,c_e_HHSize,c_e_ConstructionYear,w_Intercept,w_Income,Water,e_Intercept,e_CDD,e_HDD,Electricity,w
0,1,1,1.0695393981870742,66.2584680806785,-0.0007057094133599228,2025,0.017591213596856586,3,10.256842627476422,0.000970436502313859,2547.22822513842,72.6831497523997,16.361827513552345,0.028893792646969563,1005.3442588698435,11.46962334711892,-5.28240917773532,13719.21808670161,38.989495237780325,-29960.626895641995,833.3,3006.5,1162.2883474867767,1661.4770906630579
1,3,1,1.3337243974613524,54.82120061372204,0.0006043411105858753,1965,0.01738908363362712,1,9.940827245230428,0.0009491846492562381,2679.303152478804,73.0737805024402,16.411870659482233,0.029624609396213312,986.3846158088992,10.385317520826165,-5.28240917773532,13792.313688522749,28.28672858417622,-29960.626895641995,833.3,3006.5,1002.8251763010317,1661.4770906630579
2,4,1,1.198919809841831,39.505670848096926,0.001563027113671243,1937,0.01533565688539169,3,10.482069730090176,0.0009729483658434887,2853.479559482239,72.84411910433035,15.781417004082966,0.03661772100198151,1066.1280390544193,12.355610170179187,-5.28240917773532,13572.38542089376,36.52063158739597,-29960.626895641995,833.3,3006.5,1204.96802308692,1661.4770906630579
3,5,0,1.2302996063084062,58.22704621620132,-0.0010860341363311734,2007,0.016288295837084424,3,10.038053405380108,0.0009404437525472646,2850.8381643083367,72.8130002741885,16.09136612869907,0.03235236067549381,1103.0737767221879,13.779743196522018,-5.28240917773532,13685.937554539794,36.518271248869375,-29960.626895641995,833.3,3006.5,1237.1837439853211,1661.4770906630579
4,6,1,1.051971865464774,26.288690185823842,0.0011206209525416358,1963,0.014775600737945706,3,10.146979903753085,0.0009590676808814297,2839.992131505954,72.0578937114172,17.184972432704722,0.033983358819906315,972.4809097158567,15.610935343925936,-5.28240917773532,13688.954993750127,35.57316415484994,-29960.626895641995,833.3,3006.5,1424.8913119821093,1661.4770906630579
5,7,1,1.3592987982808011,43.55106764049041,0.0015260264961463035,1963,0.01857025318109656,2,10.592746831631654,0.0009337675072433676,2765.6721604874037,73.32850746740627,16.184608528372387,0.03602002028149407,1138.3186652599545,15.370426242686706,-5.28240917773532,13611.314348478369,34.66468085512987,-29960.626895641995,833.3,3006.5,1383.6619991190082,1661.4770906630579
6,9,0,1.1336588452697811,61.87357430365735,-0.002248409320797945,2022,0.014058202222866429,4,10.212838962450991,0.000950702887778044,2712.893862084345,73.51000597275082,17.067011787425198,0.03295081206245579,989.5493379418699,14.85853793549383,-5.28240917773532,13545.563518244124,39.610872745107415,-29960.626895641995,833.3,3006.5,1343.2903254711675,1661.4770906630579
7,10,1,1.2537673712703423,46.89167595722307,0.001151967642785391,1955,0.016778757831314446,4,10.573177726706996,0.0009538090450723484,2909.6900200795617,72.46058344515271,16.07518054444216,0.02998796064158625,1068.3636635478254,12.213034575155588,-5.28240917773532,13771.710620174525,43.244144732460384,-29960.626895641995,833.3,3006.5,1239.148282404886,1661.4770906630579
8,15,1,1.25550099184127,48.015477536931954,0.0016497571821075436,2002,0.014780559911168403,2,10.277810108454966,0.0009414831610743316,2735.450300002361,73.70150064470369,16.156158697896768,0.029628473358191524,1059.2327476243856,12.793092204587154,-5.28240917773532,13723.032556734232,31.10355309398839,-29960.626895641995,833.3,3006.5,1219.6350483651456,1661.4770906630579
9,16,1,1.245188279524974,42.43646411677982,0.0015187496078514296,1902,0.016884979871467472,3,10.635682843073756,0.0009620566380663779,2690.2198106514543,71.99279613418395,16.73982461013633,0.03817922163106481,1011.5660005025262,16.124256988930462,-5.28240917773532,13762.271636005698,37.94766735087553,-29960.626895641995,833.3,3006.5,1425.5239668722115,1661.4770906630579
10,17,1,1.1991607804212212,68.98818650493656,-0.0008354065412353952,1915,0.015102219111247784,3,10.05934417305212,0.0009549287491647947,2879.2333335784556,74.20714293298198,16.731748600959865,0.030106313882412424,997.0367475869547,12.491899635373645,-5.28240917773532,13608.790983995515,35.37042709754826,-29960.626895641995,833.3,3006.5,1198.5952786206535,1661.4770906630579
11,18,1,1.094153870492498,52.700721482410295,0.0023016753252318553,1915,0.016233684292638287,2,10.780148346711023,0.0009574304764896981,2675.353406487624,72.07668174122287,16.774541559027796,0.034299495876475836,1078.0863885058277,13.597116045246505,-5.28240917773532,13686.13011330722,32.34272698939878,-29960.626895641995,833.3,3006.5,1236.1267567488494,1661.4770906630579
12,19,0,1.1186222285919485,54.31137809133708,0.00222909007335229,1915,0.016407292685737047,3,10.443566290306638,0.0009666502098675752,2714.033882798929,71.79050833429125,15.791143614101195,0.033507377810686224,1008.2388497611394,10.696247205263068,-5.28240917773532,13799.397192215178,36.80734214460278,-29960.626895641995,833.3,3006.5,983.2364417321303,1661.4770906630579
13,20,1,1.2099253912637074,27.53378587744309,0.0006118961113351903,1915,0.01667364052975277,3,10.244322322175712,0.0009504820495448683,2745.929634091725,72.80882543908311,16.413827965645325,0.035884313433148914,1014.7306942058093,13.321153643330991,-5.28240917773532,13658.857193696726,37.126747807522925,-29960.626895641995,833.3,3006.5,1250.96699432871,1661.4770906630579
