,cool,e_BuildingSqm,elec,heat,real_index,sw,w,wf
0.0,0.0,3600.0,0.0,0.0,0.0,11.0,1.0,4.928788154224712
1.0,0.0,525.0,66742.06835423224,94458.85206448693,1.0,1.0,1.0,14.144002910351231
2.0,140893.97937187686,525.0,66742.06835423224,31486.28402149564,2.0,1.0,1.0,14.144002910351231
3.0,65124.32824300085,39.0,0.0,117168.86293266574,3.0,1.0,1.0,14.810212462051224
4.0,46964.659790625614,525.0,0.0,15185.242330075269,4.0,1.0,1.0,13.144002910351231
8.0,0.0,3600.0,0.0,0.0,8.0,11.0,1.0,3.928788154224712
9.0,0.0,3600.0,0.0,0.0,9.0,11.0,1.0,7.928788154224712
10.0,0.0,3600.0,0.0,0.0,10.0,11.0,1.0,7.928788154224712
11.0,21000.513918292363,525.0,0.0,0.0,11.0,1.0,1.0,14.144002910351231
12.0,21000.513918292363,525.0,0.0,0.0,12.0,1.0,1.0,13.144002910351231
13.0,21000.513918292363,525.0,0.0,0.0,13.0,1.0,1.0,11.144002910351231
19.0,0.0,3600.0,0.0,0.0,19.0,11.0,1.0,3.928788154224712
20.0,0.0,525.0,400452.4101253936,94458.85206448693,20.0,1.0,1.0,14.144002910351231
26.0,0.0,3600.0,0.0,0.0,26.0,11.0,1.0,4.928788154224712
27.0,0.0,3600.0,0.0,0.0,27.0,11.0,1.0,5.928788154224712
28.0,0.0,3600.0,0.0,0.0,28.0,11.0,1.0,5.928788154224712
29.0,0.0,3600.0,0.0,0.0,29.0,11.0,1.0,4.928788154224712
30.0,0.0,3600.0,0.0,0.0,30.0,11.0,1.0,8.928788154224712
31.0,0.0,3600.0,0.0,0.0,31.0,11.0,1.0,6.928788154224712
32.0,0.0,3600.0,0.0,0.0,32.0,11.0,1.0,6.928788154224712
33.0,0.0,3600.0,0.0,0.0,33.0,11.0,1.0,5.928788154224712
39.0,0.0,3600.0,0.0,0.0,39.0,11.0,1.0,6.928788154224712
43.0,0.0,3600.0,0.0,0.0,43.0,11.0,1.0,4.928788154224712
44.0,0.0,3600.0,0.0,0.0,44.0,11.0,1.0,4.928788154224712
51.0,0.0,3600.0,0.0,0.0,51.0,11.0,1.0,3.928788154224712
52.0,0.0,3600.0,0.0,0.0,52.0,11.0,1.0,5.928788154224712
53.0,0.0,3600.0,0.0,0.0,53.0,11.0,1.0,6.928788154224712
54.0,0.0,3600.0,0.0,0.0,54.0,11.0,1.0,6.928788154224712
55.0,0.0,3600.0,0.0,0.0,55.0,11.0,1.0,3.928788154224712
56.0,0.0,3600.0,0.0,0.0,56.0,11.0,1.0,1.928788154224712
57.0,0.0,3600.0,0.0,0.0,57.0,11.0,1.0,3.928788154224712
58.0,0.0,3600.0,0.0,0.0,58.0,11.0,1.0,3.928788154224712
59.0,0.0,3600.0,0.0,0.0,59.0,11.0,1.0,5.928788154224712
63.0,75143.45566500098,105.0,185129.01332144573,50378.054434393016,63.0,1.0,1.0,14.71973955996851
64.0,35424.77195635761,36.0,122937.34147707654,23749.654233356712,64.0,1.0,1.0,12.814324866691349
65.0,46964.659790625614,525.0,200226.2050626968,94458.85206448693,65.0,1.0,1.0,13.144002910351231
66.0,15654.886596875205,525.0,0.0,94458.85206448693,66.0,1.0,1.0,13.144002910351231
75.0,0.0,3600.0,0.0,0.0,75.0,11.0,1.0,6.928788154224712
76.0,0.0,3600.0,0.0,0.0,76.0,11.0,1.0,6.928788154224712
77.0,0.0,525.0,200226.2050626968,0.0,77.0,1.0,1.0,14.144002910351231
78.0,0.0,525.0,200226.2050626968,45555.72699022581,78.0,1.0,1.0,13.144002910351231
79.0,0.0,525.0,200226.2050626968,0.0,79.0,1.0,1.0,14.144002910351231
80.0,0.0,3600.0,0.0,0.0,80.0,11.0,1.0,4.928788154224712
81.0,0.0,3600.0,0.0,0.0,81.0,11.0,1.0,6.928788154224712
82.0,0.0,39.0,89060.43376261383,23688.978034917418,82.0,1.0,1.0,14.810212462051224
83.0,32760.80171253608,39.0,267181.30128784146,49118.6030735332,83.0,1.0,1.0,13.810212462051224
87.0,63001.54175487709,525.0,0.0,0.0,87.0,1.0,1.0,13.144002910351231
88.0,63001.54175487709,525.0,0.0,0.0,88.0,1.0,1.0,13.144002910351231
89.0,63001.54175487709,525.0,0.0,0.0,89.0,1.0,1.0,14.144002910351231
107.0,0.0,3600.0,0.0,0.0,107.0,11.0,1.0,7.928788154224712
114.0,0.0,3600.0,0.0,0.0,114.0,11.0,1.0,5.928788154224712
120.0,0.0,3600.0,0.0,0.0,120.0,11.0,1.0,7.928788154224712
121.0,0.0,3600.0,0.0,0.0,121.0,11.0,1.0,4.928788154224712
126.0,0.0,525.0,0.0,225324.73640897265,126.0,1.0,1.0,14.144002910351231
127.0,0.0,525.0,0.0,15185.242330075269,127.0,1.0,1.0,14.144002910351231
128.0,0.0,525.0,467194.4784796257,31486.28402149564,128.0,1.0,1.0,13.144002910351231
129.0,0.0,525.0,467194.4784796257,225324.73640897265,129.0,1.0,1.0,11.144002910351231
130.0,15654.886596875205,525.0,0.0,225324.73640897265,130.0,1.0,1.0,14.144002910351231
131.0,15654.886596875205,525.0,0.0,225324.73640897265,131.0,1.0,1.0,13.144002910351231
132.0,15654.886596875205,525.0,0.0,27765.874332035743,132.0,1.0,1.0,13.144002910351231
133.0,0.0,525.0,200226.2050626968,0.0,133.0,1.0,1.0,14.144002910351231
134.0,0.0,525.0,200226.2050626968,15185.242330075269,134.0,1.0,1.0,14.144002910351231
135.0,0.0,525.0,66742.06835423224,15185.242330075269,135.0,1.0,1.0,14.144002910351231
136.0,0.0,525.0,66742.06835423224,15185.242330075269,136.0,1.0,1.0,13.144002910351231
142.0,0.0,3600.0,0.0,0.0,142.0,11.0,1.0,4.928788154224712
143.0,0.0,3600.0,0.0,0.0,143.0,11.0,1.0,6.928788154224712
144.0,0.0,525.0,0.0,0.0,144.0,1.0,1.0,12.144002910351231
147.0,0.0,3600.0,0.0,0.0,147.0,11.0,1.0,3.928788154224712
148.0,0.0,3600.0,0.0,0.0,148.0,11.0,1.0,4.928788154224712
149.0,0.0,3600.0,0.0,0.0,149.0,11.0,1.0,7.928788154224712
150.0,0.0,3600.0,0.0,0.0,150.0,11.0,1.0,3.928788154224712
152.0,0.0,3600.0,0.0,0.0,152.0,11.0,1.0,4.928788154224712
153.0,0.0,3600.0,0.0,0.0,153.0,11.0,1.0,2.928788154224712
154.0,0.0,3600.0,0.0,0.0,154.0,11.0,1.0,4.928788154224712
155.0,0.0,3600.0,0.0,0.0,155.0,11.0,1.0,6.928788154224712
156.0,0.0,3600.0,0.0,0.0,156.0,11.0,1.0,5.928788154224712
157.0,0.0,3600.0,0.0,0.0,157.0,11.0,1.0,4.928788154224712
158.0,0.0,3600.0,0.0,0.0,158.0,11.0,1.0,6.928788154224712
159.0,0.0,3600.0,0.0,0.0,159.0,11.0,1.0,4.928788154224712
161.0,0.0,3600.0,0.0,0.0,161.0,11.0,1.0,2.928788154224712
162.0,0.0,3600.0,0.0,0.0,162.0,11.0,1.0,4.928788154224712
163.0,0.0,3600.0,0.0,0.0,163.0,11.0,1.0,5.928788154224712
